,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
267,LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,NT,30987,8608,Landfill Gas,2017-2018,-12.4637333,130.8444446,True
268,LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,NSW,205511,57086,Landfill Gas,2017-2018,-33.8102184,150.85064,True
269,LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,VIC,228276,63410,Landfill Gas,2017-2018,-38.032286,145.2678469,True
270,LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,QLD,19095,5304,Landfill Gas,2017-2018,-27.614614,152.7608421,True
271,LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,VIC,22415,6226,Landfill Gas,2017-2018,-38.2854053,145.093449,True
272,LMS ENERGY PTY LTD,NAWMA Renewable Energy Facility,SA,20784,5773,Landfill Gas,2017-2018,-34.7383029,138.6355222,True
273,LMS ENERGY PTY LTD,NAWMA Solar Facility,SA,4246,1179,Solar,2017-2018,-34.7383029,138.6355222,True
274,LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,NSW,67569,18769,Landfill Gas,2017-2018,-32.9282712,151.7816802,True
276,LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,QLD,135177,37549,Landfill Gas,2017-2018,-27.56924,153.1164813,True
277,LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,VIC,18905,5251,Landfill Gas,2017-2018,-36.3821418,145.4072272,True
278,LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,WA,105824,29396,Landfill Gas,2017-2018,-32.2577875,115.9963935,True
279,LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,QLD,72885,20246,Landfill Gas,2017-2018,-27.7295742,153.2388459,True
280,LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,QLD,45928,12758,Landfill Gas,2017-2018,-27.6397754,152.8240562,True
281,LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,VIC,211908,58863,Landfill Gas,2017-2018,-37.6085118,145.0313459,True
283,LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,NSW,68035,18899,Landfill Gas,2017-2018,-33.2843475,151.4249427,True
285,MERIDIAN ENERGY AUSTRALIA PTY LTD,Burrinjuck Hydro,NSW,215404,59834,Hydro,2017-2018,-34.9815388,148.617713,True
286,MERIDIAN ENERGY AUSTRALIA PTY LTD,Hume Hydro ,NSW,732139,203372,Hydro,2017-2018,-31.2532183,146.921099,True
287,MERIDIAN ENERGY AUSTRALIA PTY LTD,Keepit Hydro,NSW,41182,11439,Hydro,2017-2018,-30.8941167,150.5036412,True
288,MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Mercer Wind farm Pty Ltd,VIC,1353143,375873,Wind,2017-2018,-37.8318698,143.8884633,True
289,MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Millar Wind Farm Pty Ltd,SA,695306,193141,Wind,2017-2018,-33.6255531,136.7039082,True
291,MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,VIC,67158,18655,Gas,2017-2018,-37.846154,144.9827473,False
292,MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,VIC,60904,16918,Gas,2017-2018,-37.976484,145.2192169,False
293,MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,VIC,66473,18465,Gas,2017-2018,-38.1521039,144.3654034,False
294,MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,VIC,142274,39521,Gas,2017-2018,-37.7986657,144.955973,False
297,MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,VIC,232407,64558,Wind,2017-2018,-37.83531900000001,142.4662279,True
299,MUMBIDA WIND FARM NO 1 HOLDINGS PTY LTD,Mumbida Wind Farm Pty Ltd,WA,683865,189963,Wind,2017-2018,-29.0110631,114.9684225,True
301,NEOEN AUSTRALIA PTY LTD,DEGRUSSA SOLAR PROJECT PTY LTD,WA,71487,19858,Solar,2017-2018,-25.5399495,119.3229267,True
